category,dataset,version,content_id,local_path,size_bytes,saved_timestamp,expiration_seconds,source_url
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/647dbb19-e874-5134-a7f2-e557975c75f3.png,2189542,16778119.8582151,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/rooster/store/647dbb19-e874-5134-a7f2-e557975c75f3
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/5f44232d-22d3-5610-b555-ac319de0dac7.png,3755148,16778120.1552744,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/rooster/store/5f44232d-22d3-5610-b555-ac319de0dac7
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/e9b8cf94-d721-5725-b912-acb486c6fc81.png,3523480,16778120.4622627,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/rooster/store/e9b8cf94-d721-5725-b912-acb486c6fc81
CMS/Snapshots,news-feed,0.0.255,493E7A0F94610E7F4A6EB57618CB4F62C9960606C71F47068A371C9E75111595,PortalWars2/Saved/PersistentDownloadDir/CMS/Snapshots/news-feed-493E7A0F94610E7F4A6EB57618CB4F62C9960606C71F47068A371C9E75111595,1088,16778001.6405975,86400,
Localization,news-feed,0.0.255,1688CCC3C0D03819A05C7751BF00956B67A889A77DA6BB502180374D1B4D6F58,PortalWars2/Saved/PersistentDownloadDir/Localization/news-feed-1688CCC3C0D03819A05C7751BF00956B67A889A77DA6BB502180374D1B4D6F58,3539,16778001.9181577,86400,
CMS/Snapshots,seasons,0.0.24,B6F0D5B6138F9BFF3AFCB0DB3691492E41C78EB41A580E0E247F01E0A56C14C5,PortalWars2/Saved/PersistentDownloadDir/CMS/Snapshots/seasons-B6F0D5B6138F9BFF3AFCB0DB3691492E41C78EB41A580E0E247F01E0A56C14C5,796,16778010.336003,86400,
Localization,playlist-groups,0.0.59,47FE27F1C9F02D94CBE93E6F88D0BB790E2BC4DF16189496B20B1CC1C7D5C56F,PortalWars2/Saved/PersistentDownloadDir/Localization/playlist-groups-47FE27F1C9F02D94CBE93E6F88D0BB790E2BC4DF16189496B20B1CC1C7D5C56F,2495,16778010.3383953,86400,
Localization,store-sections,0.0.385,B8B38C891CC51DA3C206149232887B04C59822C1542C14BC4EF859941B86268C,PortalWars2/Saved/PersistentDownloadDir/Localization/store-sections-B8B38C891CC51DA3C206149232887B04C59822C1542C14BC4EF859941B86268C,3501,16778010.3435919,86400,
Localization,playlists,0.2.451,55A4DF15751C4550B5D2C19183773FB39608AB3C128E5997D20E97C80CFD3A4F,PortalWars2/Saved/PersistentDownloadDir/Localization/playlists-55A4DF15751C4550B5D2C19183773FB39608AB3C128E5997D20E97C80CFD3A4F,226930,16778010.4037331,86400,
Localization,challenge-schedule,0.0.92,BC3A65E8FD9C31B9A13FF8941127679F507506247CFE30CD0C7ADECF342E4FDB,PortalWars2/Saved/PersistentDownloadDir/Localization/challenge-schedule-BC3A65E8FD9C31B9A13FF8941127679F507506247CFE30CD0C7ADECF342E4FDB,4307,16778010.6858963,86400,
Localization,challenge-schedule,0.0.93,179FA040283C53C9741F29A27A9268B8191E03002DB80A27288F806C469CBDB6,PortalWars2/Saved/PersistentDownloadDir/Localization/challenge-schedule-179FA040283C53C9741F29A27A9268B8191E03002DB80A27288F806C469CBDB6,4307,16795106.3263188,86400,
CMS/Snapshots,news-feed,0.0.260,62835136B4A632175631BB7D078B8ADF53D75396F5566FE64E874879DD9BEE8F,PortalWars2/Saved/PersistentDownloadDir/CMS/Snapshots/news-feed-62835136B4A632175631BB7D078B8ADF53D75396F5566FE64E874879DD9BEE8F,951,16784831.1964772,86400,
Localization,news-feed,0.0.260,576FA0E41D3670EAA9E3D500AE9CC67C09A4466165A4D931A22E1126862E456C,PortalWars2/Saved/PersistentDownloadDir/Localization/news-feed-576FA0E41D3670EAA9E3D500AE9CC67C09A4466165A4D931A22E1126862E456C,3532,16784831.4641345,86400,
